,Index,Lemma,Derived Word,Context
0,1,एशिया,एशिया,पश्चिम एशिया में
1,2,कर,की,माँग की थी
2,3,सबसे,सबसे,को सबसे ज्यादा
3,4,बडा,बड़ी,पर बड़ी तादाद
4,5,मस्जिद,मस्जिदों,और मस्जिदों और
5,6,में,में,वार्ता में भाग
6,7,से,से,बीमारी से प्रियंका
7,8,एक,एक,ने एक प्रेस
8,9,नवाब,नवाब,इसे नवाब शाहजेहन
9,10,शाहजेहन,शाहजेहन,नवाब शाहजेहन ने
10,11,ने,ने,ग्रुप ने संघर्ष
11,12,बन,बनवाया,उन्होंने बनवाया है
12,13,प्रवेश,प्रवेश,के प्रवेश पर
13,14,द्वार,द्वार,एक द्वार बन
14,15,दो,दो,में दो लाख
15,16,मंजिला,मंजिला,तीन मंजिला है
16,17,चार,चार,में चार लोग
17,18,मेहराब,मेहराबें,चार मेहराबें हैं
18,19,है,हैं,रखे हैं लेकिन
19,20,और,और,बनाने और इसके
20,21,मुख्य,मुख्य,में मुख्य गवाह
21,22,प्रार्थना,प्रार्थना,की प्रार्थना पर
22,23,हॉल,हॉल,फ्लावर हॉल से
23,24,जा,जाने,खोले जाने वाले
24,25,के,के,लेने के लिए
25,26,लिए,लिए,के लिए सुरक्षा
26,27,इमारत,इमारत,सुरक्षाकर्मी इमारत के
27,28,बेहद,बेहद,भागीदारी बेहद जरूरी
28,29,खूबसूरत,खूबसूरत,फैले खूबसूरत रिट्रीट
29,30,लग,लगने,पर लगने वाले
30,31,वाला,वाला,छवि वाला व्यक्ति
31,32,तीन,तीन,में तीन महीने
32,33,दिन,दिन,एक दिन बाद
33,34,का,का,प्रभाव का अध्ययन
34,35,इज्तिमा,इज्तिमा,का इज्तिमा पूरे
35,36,पूरा,पूरे,जो पूरे देश
36,37,देश,देश,तक देश के
37,38,लोग,लोगों,वंचित लोगों के
38,39,को,को,प्रतिनिधियों को वार्ता
39,40,आमंत्रित,आमंत्रित,को आमंत्रित किया
40,41,कर,करता,शिकायत करता रहा
41,42,महल,महल,मुमताज महल की
42,43,सामने,सामने,खुलकर सामने आने
43,44,झील,झील,पुष्कर झील में
44,45,किनारा,किनारे,के किनारे रहने
45,46,स्थित,स्थित,भारत स्थित अपने
46,47,वास्तुकला,वास्तुकला,स्तम्भ वास्तुकला की
47,48,यह,यह,का यह फैसला
48,49,नमूना,नमूना,एक नमूना भी
49,50,कुदसिया,कुदसिया,नमूना कुदसिया बेगम
50,51,बेगम,बेगम,प्रधानमंत्री बेगम खालिदा
51,52,काल,काल,के काल से
52,53,है,है,जरूरत है और
53,54,जो,जिन्हें,कहे जिन्हें लेकर
54,55,गोहर,गोहर,जिन्हें गोहर बेगम
55,56,भी,भी,में भी काम
56,57,कह,कहा,उन्होंने कहा कि
57,58,जा,जाता,समझा जाता है
58,59,हिंदू,हिंदू,को हिंदू मुस्लिम
59,60,मुगल,मुगल,में मुगल बादशाह
60,61,कला,कला,मूर्ति कला का
61,62,अद्भुत,अद्भुत,का अद्भुत संगम
62,63,संगम,संगम,भी संगम का
63,64,भारत,भारत,कि भारत निर्माण
64,65,अनूठा,अनूठी,ने अनूठी सेवा
65,66,राष्ट्रीय,राष्ट्रीय,एक राष्ट्रीय लोक
66,67,संस्था,संस्था,वाली संस्था अंतरराष्ट्रीय
67,68,रूप,रूप,औपचारिक रूप से
68,69,प्रदर्शन,प्रदर्शन,विरोधी प्रदर्शन के
69,70,दृश्य,दृश्य,यह दृश्य दिखेगा
70,71,केंद्र,केंद्र,दो केंद्र खुलेंगे
